time,altitude,velocity_smooth,grade_smooth
1601,22.6,6.8,1.5
1602,22.7,6.6,1.5
1603,22.8,6.6,1.5
1605,23.0,6.6,1.5
1606,23.1,6.7,1.5
1607,23.2,6.7,1.7
1608,23.3,6.8,1.9
1610,23.6,7.1,2.1
1611,23.8,7.2,2.1
1613,24.1,7.2,2.0
1615,24.3,6.7,1.7
1617,24.5,6.3,1.3
1619,24.7,6.4,1.1
1620,24.7,6.5,1.0
1622,24.8,6.6,0.9
1623,24.9,6.8,1.2
1624,25.0,6.9,1.1
1626,25.2,7.1,1.3
1627,25.2,7.1,1.3
1629,25.4,6.4,1.4
1630,25.5,6.4,1.6
1632,25.7,6.1,1.4
1634,25.9,6.1,1.4
1635,25.9,6.1,1.3
1637,26.1,6.2,1.3
1638,26.2,6.2,1.5
1639,26.3,6.3,1.5
1640,26.4,6.5,1.1
1641,26.5,6.5,0.9
1642,26.5,6.6,0.6
1644,26.6,6.6,0.6
1645,26.6,6.5,0.5
1646,26.7,6.5,0.5
1648,26.7,6.5,0.6
1650,26.8,6.9,0.4
1652,26.9,7.0,0.5
1654,26.9,7.2,0.6
1656,27.0,7.1,0.8
1657,27.1,7.1,1.4
1659,27.3,7.0,2.1
1661,27.6,6.9,2.3
1663,28.0,6.5,2.3
1665,28.2,5.6,2.3
1667,28.3,4.9,1.4
1668,28.4,4.5,0.0
1669,28.4,4.8,-0.7
1671,28.2,5.4,-1.3
1672,28.1,5.9,-1.5
1674,27.9,6.4,-1.2
1675,27.8,6.5,-1.0
1677,27.7,6.8,-0.5
1678,27.7,6.7,0.0
1680,27.7,6.6,0.2
1682,27.8,6.7,0.4
1683,27.8,6.9,0.7
1685,27.9,7.1,1.0
1686,28.0,7.0,1.3
1688,28.2,6.6,1.5
1689,28.3,6.6,1.6
1691,28.5,6.5,1.6
1693,28.7,6.4,1.8
1694,28.8,6.4,1.7
1696,29.1,6.5,1.6
